location,cutoff_date,forecast_date,forecast_week,horizon,forecast,predicted,predicted_q05,predicted_q25,predicted_q50,predicted_q75,predicted_q95,reference_date,target_end_date,model_family
40,2025-10-04,2025-11-01,4,4,14.0,14.0,0.0,0.0,14.0,18.0,26.0,2025-10-04,2025-11-01,persistence
41,2025-10-04,2025-10-11,1,1,1.0,1.0,0.0,0.0,1.0,4.0,11.0,2025-10-04,2025-10-11,persistence
41,2025-10-04,2025-10-18,2,2,1.0,1.0,0.0,0.0,1.0,4.0,11.0,2025-10-04,2025-10-18,persistence
41,2025-10-04,2025-10-25,3,3,0.0,0.0,0.0,0.0,0.0,4.0,11.0,2025-10-04,2025-10-25,persistence
41,2025-10-04,2025-11-01,4,4,0.0,0.0,0.0,0.0,0.0,3.0,11.0,2025-10-04,2025-11-01,persistence
42,2025-10-04,2025-10-11,1,1,110.0,110.0,25.0,103.0,110.0,113.0,120.0,2025-10-04,2025-10-11,persistence
42,2025-10-04,2025-10-18,2,2,110.0,110.0,0.0,98.0,110.0,113.0,120.0,2025-10-04,2025-10-18,persistence
42,2025-10-04,2025-10-25,3,3,109.0,109.0,0.0,94.0,109.0,113.0,120.0,2025-10-04,2025-10-25,persistence
42,2025-10-04,2025-11-01,4,4,108.0,108.0,0.0,88.0,108.0,112.0,120.0,2025-10-04,2025-11-01,persistence
44,2025-10-04,2025-10-11,1,1,1.0,1.0,0.0,0.0,1.0,4.0,11.0,2025-10-04,2025-10-11,persistence
44,2025-10-04,2025-10-18,2,2,1.0,1.0,0.0,0.0,1.0,4.0,11.0,2025-10-04,2025-10-18,persistence
44,2025-10-04,2025-10-25,3,3,0.0,0.0,0.0,0.0,0.0,4.0,11.0,2025-10-04,2025-10-25,persistence
44,2025-10-04,2025-11-01,4,4,0.0,0.0,0.0,0.0,0.0,3.0,11.0,2025-10-04,2025-11-01,persistence
45,2025-10-04,2025-10-11,1,1,15.0,15.0,0.0,8.0,15.0,18.0,25.0,2025-10-04,2025-10-11,persistence
45,2025-10-04,2025-10-18,2,2,15.0,15.0,0.0,3.0,15.0,18.0,25.0,2025-10-04,2025-10-18,persistence
45,2025-10-04,2025-10-25,3,3,14.0,14.0,0.0,0.0,14.0,18.0,25.0,2025-10-04,2025-10-25,persistence
45,2025-10-04,2025-11-01,4,4,13.0,13.0,0.0,0.0,13.0,17.0,25.0,2025-10-04,2025-11-01,persistence
46,2025-10-04,2025-10-11,1,1,0.0,0.0,0.0,0.0,0.0,2.0,9.0,2025-10-04,2025-10-11,persistence
